id,資料集名稱,服務分類,檔案格式,下載連結,資料類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,發布時間,修訂時間,備註
19733,交通部觀光局104年度會計報告,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10401.zip;http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10402.zip;http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10403.zip;http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10404.zip;http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10405.zip;http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10406.zip;http://admin.taiwan.net.tw/upload/contentFile/201508/report_accounts_xml_10407.zip;http://admin.taiwan.net.tw/upload/contentFile/201509/report_accounts_xml_10408.zip;http://admin.taiwan.net.tw/upload/contentFile/201510/report_accounts_xml_10409.zip;http://admin.taiwan.net.tw/upload/contentFile/201511/report_accounts_xml_10410.zip;http://admin.taiwan.net.tw/upload/contentFile/201512/report_accounts_xml_10411.zip;http://admin.taiwan.net.tw/upload/contentFile/201608/report_accounts_xml_10412.zip,rawData,交通部觀光局104年度會計報告,歲入類平衡表、歲入類現金出納表、歲入累計表、以前年度歲入保留數餘額表、經費類平衡表、經費類現金出納表、經費累計表、以前年度歲出保留數餘額表,交通部觀光局,每月,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8,曾先生,02-23491500#8922,2015/08/12 16:40:36,2016/05/24 09:39:03,
27533,交通部觀光局105年度會計報告,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201603/report_accounts_xml_10501.zip;http://admin.taiwan.net.tw/upload/contentFile/201603/report_accounts_xml_10502.zip;http://admin.taiwan.net.tw/upload/contentFile/201604/report_accounts_xml_10503.zip;http://admin.taiwan.net.tw/upload/contentFile/201605/report_accounts_xml_10504.zip;http://admin.taiwan.net.tw/upload/contentFile/201606/report_accounts_xml_10505.zip;http://admin.taiwan.net.tw/upload/contentFile/201607/report_accounts_xml_10506.zip;http://admin.taiwan.net.tw/upload/contentFile/201608/report_accounts_xml_10507.zip;http://admin.taiwan.net.tw/upload/contentFile/201609/report_accounts_xml_10508.zip;http://admin.taiwan.net.tw/upload/contentFile/201610/report_accounts_xml_10509.zip;http://admin.taiwan.net.tw/upload/contentFile/201611/report_accounts_xml_10510.zip;http://admin.taiwan.net.tw/upload/contentFile/201612/report_accounts_xml_10511.zip,rawData,交通部觀光局105年度會計報告,歲入(經費)累計表、以前年度歲入(出)轉入數累計表、平衡表、資本資產表及其變動表、歲出用途別累計表、收入實現數與繳付公庫數分析表、支出實現數與公庫撥入數分析表、收入支出彙計表等,交通部觀光局,每月,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8,倪小姐,02-23491500#8915,2016/02/05 14:41:11,2016/12/13 10:04:10,
19716,交通部觀光局及所屬103年度單位決算,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201508/final_accounts_xml_103.zip,rawData,交通部觀光局及所屬103年度單位決算,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入類平衡表、經費類平衡表,交通部觀光局,無,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,曾先生,02-23491500#8922,2015/08/12 15:41:52,2016/05/24 09:39:03,
33595,交通部觀光局及所屬104年度單位決算,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201608/final_accounts_xml_104.zip,rawData,交通部觀光局及所屬104年度單位決算,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入類平衡表、經費類平衡表,交通部觀光局,無,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,倪小姐,02-23491500#8915,2016/08/04 08:43:35,2016/08/05 09:11:22,
38829,105交通部觀光局各國家風景區管理處綠建築設施調查表,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/105交通部觀光局各國家風景區管理處綠建築設施調查表.csv,rawData,105交通部觀光局各國家風景區管理處綠建築設施調查表,項次管理處"(既有或預定申請)綠建築名稱、地址、電話""(既有或預定申請)綠建築標章等級""(既有或預定申請)符合之綠建築九大指標名稱""(既有或預定申請)候選綠建築證書取得日期""(既有或預定申請)綠建築標章取得日期"綠建築照片辦理情形,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/11/08 14:56:37,2016/12/12 16:17:30,
13137,交通部觀光局104年度單位預算,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201503/104_all_law_xml.zip,rawData,交通部觀光局104年度單位預算主要表及附屬表,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,陳先生,02-23491500#8911,2015/03/16 16:25:48,2016/05/24 00:12:47,
15530,交通部觀光局104年度單位預算案,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201505/budget_public_xml_104.zip,rawData,交通部觀光局104年度單位預算案主要表及附屬表,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,陳先生,02-23491500#8911,2015/05/29 10:55:31,2016/05/24 00:23:17,
21745,交通部觀光局105年度單位預算案,交通及通訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201509/105_all_law_xml.zip,rawData,交通部觀光局105年度單位預算案主要表及附屬表,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,陳先生,02-23491500#8911,2015/09/14 18:07:34,2016/05/24 09:44:48,
27948,交通部觀光局105年度單位預算,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201602/105_all_law_xml.zip;http://admin.taiwan.net.tw/upload/contentFile/201602/105_all_law_xml.zip,rawData,交通部觀光局105年度單位預算主要表及附屬表,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8;UTF-8,邱先生,02-23491500#8921,2016/02/24 15:37:16,2016/05/24 09:59:32,
35626,交通部觀光局及所屬106年度單位預算案,公共資訊,XML,http://admin.taiwan.net.tw/public/public.aspx?no=93,rawData,交通部觀光局106年度單位預算案主要表及附屬表,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,邱先生,02-23491500#8921,2016/09/14 09:33:52,2016/09/19 10:49:37,
